Feature,Covered,Defining Type,UML Standard,Filtered
isReadOnly,true,Activity,true,true
stateInvariant,true,State,true,true
specification__from_TimeConstraint,true,TimeConstraint,true,false
_durationIntervalOfMin,true,Duration,false,false
deployedArtifact,true,Deployment,true,true
importedElement,true,ElementImport,true,true
deployment,true,DeploymentSpecification,true,true
activity,true,[Abstract] ActivityEdge,true,true
owningPackage,true,[Abstract] PackageableElement,true,true
isSynchronous,true,[Abstract] CallAction,true,true
metamodelReference,true,Profile,true,true
containedEdge,true,[Abstract] ActivityGroup,true,false
_relationshipOfRelatedElement,true,[Abstract] Element,false,false
submachine,true,State,true,true
_linkEndCreationDataOfInsertAt,true,InputPin,false,false
_enumerationLiteralOfClassifier,false,Enumeration,false,false
_structuredActivityNodeOfStructuredNodeOutput,true,OutputPin,false,true
_behaviorExecutionSpecificationOfBehavior,true,[Abstract] Behavior,false,false
messageSort,true,Message,true,true
icon,true,Stereotype,true,true
isAssured,true,ConditionalNode,true,true
_stateOfEntry,true,[Abstract] Behavior,false,true
operation,true,Parameter,true,false
doActivity,true,State,true,true
_lifelineOfSelector,true,[Abstract] ValueSpecification,false,true
isOrthogonal,true,State,true,false
exception,true,RaiseExceptionAction,true,true
actual,true,TemplateParameterSubstitution,true,true
signature,true,Message,true,true
object,true,ClearAssociationAction,true,true
isActive,true,Class,true,true
_structuredActivityNodeOfStructuredNodeInput,true,InputPin,false,true
_artifactOfOwnedAttribute,true,Property,false,true
operation,true,CallEvent,true,true
_structuredClassifierOfPart,false,Property,false,false
applyingPackage,true,ProfileApplication,true,true
specification,true,[Abstract] Behavior,true,true
isReentrant,true,[Abstract] Behavior,true,true
receivingPackage,true,PackageMerge,true,true
parameterSubstitution,true,TemplateBinding,true,true
_redefinableElementOfRedefinedElement,true,[Abstract] RedefinableElement,false,false
joinSpec,true,JoinNode,true,true
interfaceRealization,true,[Abstract] BehavioredClassifier,true,true
second,true,TestIdentityAction,true,true
generalizationSet,true,Generalization,true,true
type,true,[Abstract] TypedElement,true,true
observation,true,TimeExpression,true,true
trigger,true,AcceptEventAction,true,true
_timeExpressionOfExpr,true,[Abstract] ValueSpecification,false,true
edge,true,ActivityPartition,true,true
finish,true,[Abstract] ExecutionSpecification,true,true
_replyActionOfReplyToCall,true,Trigger,false,false
_acceptEventActionOfResult,true,OutputPin,false,true
action,true,Interaction,true,true
refersTo,true,InteractionUse,true,true
abstraction,true,ComponentRealization,true,true
result,true,ReadStructuralFeatureAction,true,true
interrupts,true,[Abstract] ActivityEdge,true,true
successorClause,true,Clause,true,true
isDerived,true,Association,true,true
_readLinkObjectEndActionOfResult,true,OutputPin,false,true
defaultValue,true,Parameter,true,true
guard,true,Message,true,true
input,true,[Abstract] Action,true,false
request,true,SendObjectAction,true,false
enumeration,true,EnumerationLiteral,true,true
_messageOfConnector,true,Connector,false,false
exceptionType,true,ExceptionHandler,true,true
inputValue,true,[Abstract] LinkAction,true,true
isDimension,true,ActivityPartition,true,true
_activityOfPartition,true,ActivityPartition,false,false
ownedComment,true,[Abstract] Element,true,true
member,true,[Abstract] Namespace,true,false
_interactionUseOfReturnValue,true,[Abstract] ValueSpecification,false,true
parameteredElement,true,TemplateParameter,true,true
ownedAttribute,true,Interface,true,true
content,true,Image,true,true
_invocationActionOfOnPort,true,Port,false,false
_conditionalNodeOfResult,true,OutputPin,false,true
_opaqueActionOfInputValue,true,InputPin,false,true
_templateBindingOfSignature,true,TemplateSignature,false,false
transformation,true,ObjectFlow,true,true
metaclassReference,true,Profile,true,true
_callOperationActionOfOperation,true,Operation,false,false
_messageEndOfMessage,true,Message,false,false
stereotypedElement,true,InstanceSpecification,true,true
_profileApplicationOfAppliedProfile,true,Profile,false,false
_abstractionOfMapping,true,OpaqueExpression,false,true
isReplaceAll,true,LinkEndCreationData,true,true
element,true,ElementValue,true,true
stateMachine,true,Pseudostate,true,true
deployment,true,[Abstract] DeploymentTarget,true,true
URI,true,Package,true,true
owningAssociation,true,Property,true,true
message,true,ConsiderIgnoreFragment,true,true
isAbstract,true,[Abstract] Classifier,true,true
_triggerOfEvent,true,[Abstract] Event,false,false
clientDependency,true,[Abstract] NamedElement,true,false
inStructuredNode,true,[Abstract] ActivityNode,true,true
inPartition,true,[Abstract] ActivityEdge,true,true
conveyed,true,InformationFlow,true,true
_readIsClassifiedObjectActionOfObject,true,InputPin,false,true
UMLClass,true,Property,true,false
isComposite,true,Property,true,false
toBefore,true,OccurrenceSpecification,true,true
region,true,State,true,true
classifier,true,CreateObjectAction,true,true
represents,true,ActivityPartition,true,true
bodyPart,true,LoopNode,true,true
clause,true,ConditionalNode,true,true
isDestroyOwnedObjects,true,DestroyObjectAction,true,true
ordering,true,[Abstract] ObjectNode,true,true
substitution,true,[Abstract] Classifier,true,true
activity__from_StructuredActivityNode,true,StructuredActivityNode,true,false
_messageOfGuard,true,Constraint,false,true
_behaviorOfPostcondition,true,Constraint,false,true
_sendSignalActionOfTarget,true,InputPin,false,true
activityScope,true,Variable,true,true
node,true,InterruptibleActivityRegion,true,true
target,true,CallOperationAction,true,true
informationSource,true,InformationFlow,true,true
_structuredClassifierOfRole,true,[Abstract] ConnectableElement,false,false
_valueSpecificationActionOfResult,true,OutputPin,false,true
templateParameter__from_Classifier,true,[Abstract] Classifier,true,false
covered,true,[Abstract] InteractionFragment,true,true
decomposedAs,true,Lifeline,true,true
inputElement,true,ExpansionRegion,true,true
target,true,Transition,true,true
_protocolTransitionOfPreCondition,true,Constraint,false,true
parameter,true,TemplateSignature,true,true
localPostcondition,true,[Abstract] Action,true,true
_behavioredClassifierOfClassifierBehavior,true,[Abstract] Behavior,false,false
_activityEdgeOfWeight,true,[Abstract] ValueSpecification,false,true
result,true,ReadVariableAction,true,true
visibility__from_PackageableElement,true,[Abstract] PackageableElement,true,false
result,true,ReduceAction,true,true
handlerBody,true,ExceptionHandler,true,true
inGroup,true,[Abstract] ActivityEdge,true,false
classifier,true,Property,true,false
isReplaceAll,true,ReclassifyObjectAction,true,true
constrainedElement,true,Constraint,true,false
ownedType,true,Package,true,false
variable,true,StructuredActivityNode,true,true
replyToCall,true,ReplyAction,true,true
appliedProfile,true,ProfileApplication,true,true
parameteredElement__from_ClassifierTemplateParameter,true,ClassifierTemplateParameter,true,false
activity,true,[Abstract] ActivityNode,true,true
_componentOfProvided,false,Interface,false,false
feature,true,[Abstract] Classifier,true,false
_clauseOfDecider,true,OutputPin,false,false
ownedReception,true,Interface,true,true
result,true,ReadSelfAction,true,true
_regionOfExtendedRegion,true,Region,false,false
_stereotypeOfProfile,true,Profile,false,false
_objectNodeOfSelection,true,[Abstract] Behavior,false,false
target,true,DestroyObjectAction,true,true
_informationFlowOfRealizingActivityEdge,true,[Abstract] ActivityEdge,false,false
unmarshallType,true,UnmarshallAction,true,true
_namespaceOfImportedMember,false,[Abstract] PackageableElement,false,false
_parameterSetOfCondition,true,Constraint,false,true
loopVariable,true,LoopNode,true,true
_startClassifierBehaviorActionOfObject,true,InputPin,false,true
isTestedFirst,true,LoopNode,true,true
weight,true,[Abstract] ActivityEdge,true,true
target,true,Message,true,true
_behavioralFeatureOfRaisedException,true,[Abstract] Type,false,false
_artifactOfOwnedOperation,true,Operation,false,true
_templateParameterSubstitutionOfActual,true,[Abstract] ParameterableElement,false,false
event,true,TimeObservation,true,true
raisedException,true,[Abstract] BehavioralFeature,true,true
extension,true,ExtensionPoint,true,false
owningLower,true,[Abstract] ValueSpecification,true,true
definingEnd,true,ConnectorEnd,true,false
configuration,true,Deployment,true,true
_readLinkObjectEndActionOfEnd,true,Property,false,false
default,true,Parameter,true,false
redefinedEdge,true,[Abstract] ActivityEdge,true,true
result,true,OpaqueExpression,true,false
guard,true,InteractionOperand,true,true
redefinedClassifier,true,[Abstract] Classifier,true,true
_transitionOfRedefinitionContext,false,[Abstract] Classifier,false,false
_interactionOfAction,true,[Abstract] Action,false,true
lifeline,true,Interaction,true,true
messageKind,true,Message,true,false
packageMerge,true,Package,true,true
deploymentLocation,true,DeploymentSpecification,true,true
interface,true,Property,true,true
connector,true,Message,true,true
_operationOfRaisedException,true,[Abstract] Type,false,false
_changeEventOfChangeExpression,true,[Abstract] ValueSpecification,false,true
_operationOfRedefinedOperation,true,Operation,false,false
decider,true,Clause,true,true
isSingleExecution,true,Activity,true,true
endData,true,[Abstract] LinkAction,true,true
_substitutionOfContract,true,[Abstract] Classifier,false,false
_informationFlowOfConveyed,true,[Abstract] Classifier,false,false
type,true,CollaborationUse,true,true
isOrdered,true,Operation,true,false
group,true,Activity,true,true
connectionPoint,true,StateMachine,true,true
nestingPackage,true,Package,true,false
_exceptionHandlerOfExceptionInput,true,[Abstract] ObjectNode,false,false
_timeIntervalOfMax,true,TimeExpression,false,false
classifier,true,ReadIsClassifiedObjectAction,true,true
target,true,SendObjectAction,true,true
_replyActionOfReturnInformation,true,InputPin,false,true
result,true,AcceptEventAction,true,true
_unmarshallActionOfObject,true,InputPin,false,true
templateParameter__from_ConnectableElement,true,[Abstract] ConnectableElement,true,false
parameterSet,true,Parameter,true,true
precondition,true,Operation,true,true
owningTransition,true,Constraint,true,true
outputElement,true,ExpansionRegion,true,true
qualifier,true,LinkEndData,true,true
_removeStructuralFeatureValueActionOfRemoveAt,true,InputPin,false,true
_structuralFeatureActionOfStructuralFeature,true,[Abstract] StructuralFeature,false,false
_loopNodeOfBodyOutput,true,OutputPin,false,false
_readSelfActionOfResult,true,OutputPin,false,true
source,true,Transition,true,true
role,true,ConnectorEnd,true,true
nestedArtifact,true,Artifact,true,true
toAfter,true,OccurrenceSpecification,true,true
_activityNodeOfRedefinedNode,true,[Abstract] ActivityNode,false,false
superPartition,true,ActivityPartition,true,true
interaction,true,Message,true,true
lower,true,[Abstract] MultiplicityElement,true,false
_informationFlowOfRealizingConnector,true,Connector,false,false
enclosingInteraction,true,[Abstract] InteractionFragment,true,true
utilizedElement,true,Manifestation,true,true
_unmarshallActionOfResult,true,OutputPin,false,true
bodyContext,true,Constraint,true,true
_manifestationOfUtilizedElement,true,[Abstract] PackageableElement,false,false
_clearAssociationActionOfObject,true,InputPin,false,true
outgoing,true,[Abstract] Vertex,true,false
_durationObservationOfEvent,true,[Abstract] NamedElement,false,false
importedMember,true,[Abstract] Namespace,true,false
object,true,ReclassifyObjectAction,true,true
isSimple,true,State,true,false
_deploymentOfDeployedArtifact,true,[Abstract] DeployedArtifact,false,false
signal,true,SendSignalAction,true,true
_collaborationOfCollaborationRole,true,[Abstract] ConnectableElement,false,false
_opaqueActionOfOutputValue,true,OutputPin,false,true
ownedParameterSet,true,[Abstract] Behavior,true,true
isExternal,true,ActivityPartition,true,true
part,true,[Abstract] StructuredClassifier,true,false
upperValue,true,[Abstract] MultiplicityElement,true,true
before,true,GeneralOrdering,true,true
isLeaf,true,[Abstract] RedefinableElement,true,true
ownedAttribute,true,Signal,true,true
_abstraction,true,[Abstract] Relationship,false,false
port,true,Trigger,true,true
_executionOccurrenceSpecificationOfExecution,true,[Abstract] ExecutionSpecification,false,false
node,true,StructuredActivityNode,true,true
_propertyOfSubsettedProperty,true,Property,false,false
_messageOfSignature,true,[Abstract] NamedElement,false,false
interface,true,Operation,true,true
isID,true,Property,true,true
inheritedMember,true,[Abstract] Classifier,true,false
_readExtentActionOfResult,true,OutputPin,false,true
behavior,true,[Abstract] Event,true,true
includingCase,true,Include,true,true
representation,true,[Abstract] Classifier,true,true
_connectorOfType,true,Association,false,false
argument,true,Message,true,true
collaborationUse,true,[Abstract] Classifier,true,true
_valueSpecificationActionOfValue,true,[Abstract] ValueSpecification,false,true
informationTarget,true,InformationFlow,true,true
_createLinkActionOfEndData,true,LinkEndCreationData,false,false
_portOfProvided,false,Interface,false,false
direction,true,Parameter,true,true
collection,true,ReduceAction,true,true
_interactionOperandOfGuard,true,InteractionConstraint,false,true
isControl,true,[Abstract] Pin,true,true
isStream,true,Parameter,true,true
_timeEventOfWhen,true,TimeExpression,false,true
observation,true,Duration,true,true
ownedDiagram,true,[Abstract] Namespace,true,true
state,true,Pseudostate,true,true
_readVariableActionOfResult,true,OutputPin,false,true
incoming,true,[Abstract] Vertex,true,false
_readLinkObjectEndQualifierActionOfResult,true,OutputPin,false,true
returnInformation,true,ReplyAction,true,true
_stateInvariantOfInvariant,true,Constraint,false,true
result,true,LoopNode,true,false
_collaborationUseOfType,true,Collaboration,false,false
isDerivedUnion,true,Property,true,true
value,true,LiteralInteger,true,true
min__from_DurationInterval,true,DurationInterval,true,false
event,true,[Abstract] Behavior,true,true
constrainingClassifier,true,ClassifierTemplateParameter,true,true
subpartition,true,ActivityPartition,true,true
template,true,TemplateSignature,true,true
firstEvent,true,DurationConstraint,true,true
owningInstance,true,Slot,true,true
_protocolConformanceOfGeneralMachine,true,ProtocolStateMachine,false,false
realizingMessage,true,InformationFlow,true,true
_diagramOfContext,true,[Abstract] Element,false,false
endData__from_DestroyLinkAction,true,DestroyLinkAction,true,false
behavior,true,[Abstract] Observation,true,true
_extendOfCondition,true,Constraint,false,true
isRequired,true,Extension,true,false
changeExpression,true,ChangeEvent,true,true
