Feature,Covered,Defining Type,UML Standard,Filtered
specification__from_IntervalConstraint,true,IntervalConstraint,true,false
metaclass,true,Extension,true,false
_loopNodeOfBodyPart,true,[Abstract] ExecutableNode,false,false
navigableOwnedEnd,true,Association,true,true
_informationFlowOfInformationTarget,true,[Abstract] NamedElement,false,false
isRemoveDuplicates,true,RemoveVariableValueAction,true,true
_readLinkObjectEndQualifierActionOfResult,true,OutputPin,false,true
loopVariable,true,LoopNode,true,true
observation,true,Duration,true,true
_activityEdgeOfRedefinedEdge,true,[Abstract] ActivityEdge,false,false
_readExtentActionOfResult,true,OutputPin,false,true
specification__from_DurationConstraint,true,DurationConstraint,true,false
_namespaceOfImportedMember,false,[Abstract] PackageableElement,false,false
_timeObservationOfEvent,true,[Abstract] NamedElement,false,false
generalizationSet,true,Generalization,true,true
ownedReception,true,Interface,true,true
_redefinableTemplateSignatureOfInheritedParameter,false,TemplateParameter,false,false
entry,true,ConnectionPointReference,true,true
result,true,ReadVariableAction,true,true
isReadOnly,true,Activity,true,true
ownedOperation,true,Class,true,true
isDisjoint,true,GeneralizationSet,true,true
signature,true,Message,true,true
_intervalOfMin,true,[Abstract] ValueSpecification,false,false
inGroup,true,[Abstract] ActivityNode,true,false
mergedPackage,true,PackageMerge,true,true
role,true,[Abstract] StructuredClassifier,true,false
_interactionConstraintOfMaxint,true,[Abstract] ValueSpecification,false,true
_sendObjectActionOfTarget,true,InputPin,false,true
_behavioredClassifierOfOwnedBehavior,true,[Abstract] Behavior,false,true
invariant,true,StateInvariant,true,true
default,true,TemplateParameter,true,true
implementingClassifier,true,InterfaceRealization,true,true
kind,true,Pseudostate,true,true
redefinedVertex,true,[Abstract] Vertex,true,true
argument,true,InteractionUse,true,true
parameteredElement,true,TemplateParameter,true,true
isDimension,true,ActivityPartition,true,true
isControlType,true,[Abstract] ObjectNode,true,true
content,true,Image,true,true
nestingPackage,true,Package,true,false
_templateParameterOfOwnedDefault,true,[Abstract] ParameterableElement,false,true
specific,true,Generalization,true,true
_opaqueExpressionOfBehavior,true,[Abstract] Behavior,false,false
test,true,LoopNode,true,true
_classifierOfCollaborationUse,true,CollaborationUse,false,true
_messageOfConnector,true,Connector,false,false
